id;type;date_evaluation;classe;matiere
1;Lithuania;2022-09-01T08:46:14;maroon;Global
2;Central supply-chain;2022-08-31T14:13:48;payment orchid;contingency
3;Frozen Computer;2022-08-31T11:35:06;XSS green Security;Granite payment
4;robust;2022-09-01T01:33:40;Table reciprocal Fantastic;Gloves PCI
5;innovate parsing onl;2022-08-31T23:50:30;index reboot plum;Handmade Regional
6;Operative Iowa multi;2022-09-01T01:31:03;Health;mindshare
7;Borders;2022-09-01T01:49:16;Money Market Account benchmark hacking;Human silver policy
8;Bulgarian Lev;2022-09-01T04:49:49;Officer Nebraska wireless;Tasty Generic Steel Bacon
9;Function-based Malay;2022-08-31T16:46:22;Customer Customer;software digital orange
10;matrix;2022-08-31T14:49:47;Home Loan Account Agent Assurance;Awesome
