id;note;eleve;apperciation
1;42230;solid state;../fake-data/blob/hipster.txt
2;66772;Walk Savings Account;../fake-data/blob/hipster.txt
3;69622;framework;../fake-data/blob/hipster.txt
4;78561;ivory;../fake-data/blob/hipster.txt
5;91627;projection clicks-and-mortar;../fake-data/blob/hipster.txt
6;96734;drive Pants e-commerce;../fake-data/blob/hipster.txt
7;22081;cultivate;../fake-data/blob/hipster.txt
8;89998;Centers hacking;../fake-data/blob/hipster.txt
9;44258;Handmade silver Architect;../fake-data/blob/hipster.txt
10;37078;Product Haven;../fake-data/blob/hipster.txt
